"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"40e8377369559172c5f01b17b484dd67","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","midas_g_1097","midas_s_1097"
"d5326ed9f3722d239204b54e16b6fce2","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","midas_g_1097","midas_s_1097"
"09af94b8d7a33fea0caddba401de886d","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","midas_g_1097",NA
"234d0e4dfbc878fd917255bf5f6289a6","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","midas_g_1097",NA
"f72b73b027bd977b98761b1ea1617e77","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","midas_g_1097",NA
"b158c680313412a90d374839eaf1fc71","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","midas_g_1097",NA
"474818dabd63ec86682398fb064e3075","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","midas_g_5167","midas_s_5167"
"db5a09f6d5f15233be2f4876a4e1dfd0","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","midas_g_55095","midas_s_55095"
"78c7599d2bb70afbb3f0428ed9096253","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","midas_g_55095","midas_s_55095"
"5619ecd74032f3692e45ed27d854a4cf","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","midas_g_2781","midas_s_115738"
"f94530a3f228084bdeaeb7a39688eee3","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","midas_g_38485","midas_s_103100"
"0bc036f45f62629eb141c0b2789a7ccc","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","midas_g_51871","midas_s_51871"
"eeb6abfbff75dfbe4a95416e6e96f5cd","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","midas_g_2898","midas_s_5105"
"241417dc7e1ba1b206725b07c293e513","Bacteria","Planctomycetota","Planctomycetes",NA,NA,NA,NA
"525d290a550ed1967165ae9e3cb4e418","Bacteria","Planctomycetota","Phycisphaerae","DG-20","midas_f_112729","midas_g_112729","midas_s_112729"
"514a11a5563cf7c0904ca7fe409243ec","Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101_soil_group","midas_g_99799","midas_s_99799"
"70a0aceb6366f63c31a98c6c7d953451","Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101_soil_group","midas_g_97936","midas_s_114732"
"48e11b1bbcef21c6dff876fbd6f6978b","Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","Tepidisphaeraceae","midas_g_6525","midas_s_6525"
"f4ff0ee3c144e394c4716638349c200e","Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","Tepidisphaeraceae","midas_g_6525","midas_s_6525"
"8ede67e7c61f74a5612c9fccb72922c4","Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101_soil_group","midas_g_35597","midas_s_35597"
"57e0084d177c8317667e941627482cfd","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","midas_g_35475","midas_s_35475"
"a21175b0526918d777fddaaf2c669dc7","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02","midas_s_20026"
"803485049a1143a9fe756d3bbfa2e6d1","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","CL500-3","midas_s_4986"
"14104e26b01904309a275b483018ef07","Bacteria","Planctomycetota","Phycisphaerae","Pla1_lineage","midas_f_3438","midas_g_5069","midas_s_5069"
"b934c9aaec21fd7ea357f477edf973c4","Bacteria","Planctomycetota","Phycisphaerae","Pla1_lineage","midas_f_3438","midas_g_5069","midas_s_5069"
"261b44cd9bc0b2527e423cdc9b2566d7","Bacteria","Planctomycetota","Phycisphaerae","Pla1_lineage","midas_f_3438","midas_g_4387","midas_s_4387"
"a3c13d18438920a08b5b848e5bed6ccc","Bacteria","Planctomycetota","Phycisphaerae","mle1-8","midas_f_2968","midas_g_2968","midas_s_2968"
"a194f05a7734d5258de4a19ba32c6fee","Bacteria","Planctomycetota","Phycisphaerae","MSBL9","SG8-4","midas_g_91234","midas_s_91234"
"3437a47a4925d252b28cfb4d0294dd05","Bacteria","Planctomycetota","Phycisphaerae","MSBL9","KCLunmb-38-53","midas_g_90538",NA
"20abf2ec1c251d3b10661d2759700cf6","Bacteria","Planctomycetota","Phycisphaerae","MSBL9","4572-13","midas_g_76028","midas_s_91039"
"a0d751a66be087ee1f78a94d75ee53ae","Bacteria","Planctomycetota","Phycisphaerae","mle1-8","midas_f_1686","midas_g_8887","midas_s_8887"
"63e01471e0b7dbbf3fac02c0ba7ccf08","Bacteria","Planctomycetota","OM190","midas_o_2104","midas_f_2104","midas_g_23116","midas_s_59399"
"95eb76425e1f8741d2df87fed0de44f4","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","midas_g_6692","midas_s_56040"
"1f5f8950fc6f772ef9dd87fa86eaf5b7","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Prosthecobacter",NA
"b4fae70305f7d35f363f67b17e1a24ea","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Prosthecobacter",NA
"79e7fb6b2a686d6b49b257cf8dd470a4","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Prosthecobacter","midas_s_8641"
"12eda62819c6c1daa8e19b0911e24c4d","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","midas_g_3108",NA
"dfa833b266bd2993b86feab3617b34c3","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia_muciniphila"
"df5c1ef25ab497ab767dcbb6be082f83","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia_muciniphila"
"7d9d972187247486c03199c8822100ca","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","midas_g_5504","midas_s_29303"
"3a79c8434e258373f0c182c003894caf","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","midas_g_36715","midas_s_36715"
